DATAFLOW,CSE_REG_DIST_LOC: Region District Locality,CSE_SEX: Sex,CSE_FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,CSE_OBS_STATUS: Observation Status,CSE_OBS_NOTE: Observation Note
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC0: 0 - Maltese Islands,F: Females,A: Annual,2012-A1,212126,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC0: 0 - Maltese Islands,F: Females,A: Annual,2013-A1,214891,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC0: 0 - Maltese Islands,F: Females,A: Annual,2014-A1,219203,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC0: 0 - Maltese Islands,F: Females,A: Annual,2015-A1,224019,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC0: 0 - Maltese Islands,F: Females,A: Annual,2016-A1,228634,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC0: 0 - Maltese Islands,F: Females,A: Annual,2017-A1,235102,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC0: 0 - Maltese Islands,F: Females,A: Annual,2018-A1,241723,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC0: 0 - Maltese Islands,F: Females,A: Annual,2019-A1,248802,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC0: 0 - Maltese Islands,F: Females,A: Annual,2020-A1,249161,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC0: 0 - Maltese Islands,M: Males,A: Annual,2005-A1,200838,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC0: 0 - Maltese Islands,M: Males,A: Annual,2006-A1,201519,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC0: 0 - Maltese Islands,M: Males,A: Annual,2007-A1,202734,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC0: 0 - Maltese Islands,M: Males,A: Annual,2008-A1,204607,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC0: 0 - Maltese Islands,M: Males,A: Annual,2009-A1,206203,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC0: 0 - Maltese Islands,M: Males,A: Annual,2010-A1,206405,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC0: 0 - Maltese Islands,M: Males,A: Annual,2011-A1,207695,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC0: 0 - Maltese Islands,M: Males,A: Annual,2012-A1,210383,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC0: 0 - Maltese Islands,M: Males,A: Annual,2013-A1,214533,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC0: 0 - Maltese Islands,M: Males,A: Annual,2014-A1,220488,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC0: 0 - Maltese Islands,M: Males,A: Annual,2015-A1,226396,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC0: 0 - Maltese Islands,M: Males,A: Annual,2016-A1,231663,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC0: 0 - Maltese Islands,M: Males,A: Annual,2017-A1,240599,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC0: 0 - Maltese Islands,M: Males,A: Annual,2018-A1,251836,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC0: 0 - Maltese Islands,M: Males,A: Annual,2019-A1,265762,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC0: 0 - Maltese Islands,M: Males,A: Annual,2020-A1,266939,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01: 01 - Malta,F: Females,A: Annual,2005-A1,188440,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01: 01 - Malta,F: Females,A: Annual,2006-A1,188433,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01: 01 - Malta,F: Females,A: Annual,2007-A1,189411,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01: 01 - Malta,F: Females,A: Annual,2008-A1,190594,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01: 01 - Malta,F: Females,A: Annual,2009-A1,192037,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01: 01 - Malta,F: Females,A: Annual,2010-A1,192791,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01: 01 - Malta,F: Females,A: Annual,2011-A1,194024,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01: 01 - Malta,F: Females,A: Annual,2012-A1,196305,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01: 01 - Malta,F: Females,A: Annual,2013-A1,199063,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01: 01 - Malta,F: Females,A: Annual,2014-A1,203250,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01: 01 - Malta,F: Females,A: Annual,2015-A1,207990,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01: 01 - Malta,F: Females,A: Annual,2016-A1,212486,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01: 01 - Malta,F: Females,A: Annual,2017-A1,218716,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01: 01 - Malta,F: Females,A: Annual,2018-A1,225086,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01: 01 - Malta,F: Females,A: Annual,2019-A1,231837,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01: 01 - Malta,F: Females,A: Annual,2020-A1,232074,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01: 01 - Malta,T: Total,A: Annual,2005-A1,373992,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01: 01 - Malta,T: Total,A: Annual,2006-A1,374653,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01: 01 - Malta,T: Total,A: Annual,2007-A1,376796,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01: 01 - Malta,T: Total,A: Annual,2008-A1,379748,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01: 01 - Malta,T: Total,A: Annual,2009-A1,382705,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01: 01 - Malta,T: Total,A: Annual,2010-A1,383685,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01: 01 - Malta,T: Total,A: Annual,2011-A1,386143,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01: 01 - Malta,T: Total,A: Annual,2012-A1,391087,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01: 01 - Malta,T: Total,A: Annual,2013-A1,397968,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01: 01 - Malta,T: Total,A: Annual,2014-A1,407958,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01: 01 - Malta,T: Total,A: Annual,2015-A1,418490,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01: 01 - Malta,T: Total,A: Annual,2016-A1,428091,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01: 01 - Malta,T: Total,A: Annual,2017-A1,442978,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01: 01 - Malta,T: Total,A: Annual,2018-A1,460171,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01: 01 - Malta,T: Total,A: Annual,2019-A1,480134,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01: 01 - Malta,T: Total,A: Annual,2020-A1,481537,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01: 01 - Malta,M: Males,A: Annual,2005-A1,185552,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01: 01 - Malta,M: Males,A: Annual,2006-A1,186220,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01: 01 - Malta,M: Males,A: Annual,2007-A1,187385,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01: 01 - Malta,M: Males,A: Annual,2008-A1,189154,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01: 01 - Malta,M: Males,A: Annual,2009-A1,190668,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01: 01 - Malta,M: Males,A: Annual,2010-A1,190894,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01: 01 - Malta,M: Males,A: Annual,2011-A1,192119,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01: 01 - Malta,M: Males,A: Annual,2012-A1,194782,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01: 01 - Malta,M: Males,A: Annual,2013-A1,198905,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01: 01 - Malta,M: Males,A: Annual,2014-A1,204708,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01: 01 - Malta,M: Males,A: Annual,2015-A1,210500,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01: 01 - Malta,M: Males,A: Annual,2016-A1,215605,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01: 01 - Malta,M: Males,A: Annual,2017-A1,224262,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01: 01 - Malta,M: Males,A: Annual,2018-A1,235085,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01: 01 - Malta,M: Males,A: Annual,2019-A1,248297,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01: 01 - Malta,M: Males,A: Annual,2020-A1,249463,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC011: 011 - Southern Harbour,T: Total,A: Annual,2005-A1,81050,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC011: 011 - Southern Harbour,T: Total,A: Annual,2006-A1,80499,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC011: 011 - Southern Harbour,T: Total,A: Annual,2007-A1,80258,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC011: 011 - Southern Harbour,T: Total,A: Annual,2008-A1,80193,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC011: 011 - Southern Harbour,T: Total,A: Annual,2009-A1,80119,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC011: 011 - Southern Harbour,T: Total,A: Annual,2010-A1,79635,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC011: 011 - Southern Harbour,T: Total,A: Annual,2011-A1,79474,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC011: 011 - Southern Harbour,T: Total,A: Annual,2012-A1,79487,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC011: 011 - Southern Harbour,T: Total,A: Annual,2013-A1,79472,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC011: 011 - Southern Harbour,T: Total,A: Annual,2014-A1,79833,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC011: 011 - Southern Harbour,T: Total,A: Annual,2015-A1,80273,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC011: 011 - Southern Harbour,T: Total,A: Annual,2016-A1,80664,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC011: 011 - Southern Harbour,T: Total,A: Annual,2017-A1,81582,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC011: 011 - Southern Harbour,T: Total,A: Annual,2018-A1,82910,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC011: 011 - Southern Harbour,T: Total,A: Annual,2019-A1,85046,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC011: 011 - Southern Harbour,T: Total,A: Annual,2020-A1,84901,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC011: 011 - Southern Harbour,M: Males,A: Annual,2005-A1,40400,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC011: 011 - Southern Harbour,M: Males,A: Annual,2006-A1,40178,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC011: 011 - Southern Harbour,M: Males,A: Annual,2007-A1,40058,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC011: 011 - Southern Harbour,M: Males,A: Annual,2008-A1,40069,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC011: 011 - Southern Harbour,M: Males,A: Annual,2009-A1,40022,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC011: 011 - Southern Harbour,M: Males,A: Annual,2010-A1,39704,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC011: 011 - Southern Harbour,M: Males,A: Annual,2011-A1,39606,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC011: 011 - Southern Harbour,M: Males,A: Annual,2012-A1,39636,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC011: 011 - Southern Harbour,M: Males,A: Annual,2013-A1,39589,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC011: 011 - Southern Harbour,M: Males,A: Annual,2014-A1,39888,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC011: 011 - Southern Harbour,M: Males,A: Annual,2015-A1,40150,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC011: 011 - Southern Harbour,M: Males,A: Annual,2016-A1,40318,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC011: 011 - Southern Harbour,M: Males,A: Annual,2017-A1,40961,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC011: 011 - Southern Harbour,M: Males,A: Annual,2018-A1,41933,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC011: 011 - Southern Harbour,M: Males,A: Annual,2019-A1,43507,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC011: 011 - Southern Harbour,M: Males,A: Annual,2020-A1,43462,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC011: 011 - Southern Harbour,F: Females,A: Annual,2005-A1,40650,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC011: 011 - Southern Harbour,F: Females,A: Annual,2006-A1,40321,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC011: 011 - Southern Harbour,F: Females,A: Annual,2007-A1,40200,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC011: 011 - Southern Harbour,F: Females,A: Annual,2008-A1,40124,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC011: 011 - Southern Harbour,F: Females,A: Annual,2009-A1,40097,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC011: 011 - Southern Harbour,F: Females,A: Annual,2010-A1,39931,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC011: 011 - Southern Harbour,F: Females,A: Annual,2011-A1,39868,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC011: 011 - Southern Harbour,F: Females,A: Annual,2012-A1,39851,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC011: 011 - Southern Harbour,F: Females,A: Annual,2013-A1,39883,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC011: 011 - Southern Harbour,F: Females,A: Annual,2014-A1,39945,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC011: 011 - Southern Harbour,F: Females,A: Annual,2015-A1,40123,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC011: 011 - Southern Harbour,F: Females,A: Annual,2016-A1,40346,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC011: 011 - Southern Harbour,F: Females,A: Annual,2017-A1,40621,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC011: 011 - Southern Harbour,F: Females,A: Annual,2018-A1,40977,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC011: 011 - Southern Harbour,F: Females,A: Annual,2019-A1,41539,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC011: 011 - Southern Harbour,F: Females,A: Annual,2020-A1,41439,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01101: 01101 - Valletta,M: Males,A: Annual,2005-A1,3062,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01101: 01101 - Valletta,M: Males,A: Annual,2006-A1,3012,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01101: 01101 - Valletta,M: Males,A: Annual,2007-A1,2971,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01101: 01101 - Valletta,M: Males,A: Annual,2008-A1,2938,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01101: 01101 - Valletta,M: Males,A: Annual,2009-A1,2901,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01101: 01101 - Valletta,M: Males,A: Annual,2010-A1,2845,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01101: 01101 - Valletta,M: Males,A: Annual,2011-A1,2802,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01101: 01101 - Valletta,M: Males,A: Annual,2012-A1,2796,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01101: 01101 - Valletta,M: Males,A: Annual,2013-A1,2783,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01101: 01101 - Valletta,M: Males,A: Annual,2014-A1,2822,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01101: 01101 - Valletta,M: Males,A: Annual,2015-A1,2839,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01101: 01101 - Valletta,M: Males,A: Annual,2016-A1,2823,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01101: 01101 - Valletta,M: Males,A: Annual,2017-A1,2848,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01101: 01101 - Valletta,M: Males,A: Annual,2018-A1,2918,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01101: 01101 - Valletta,M: Males,A: Annual,2019-A1,2955,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01101: 01101 - Valletta,M: Males,A: Annual,2020-A1,2956,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01101: 01101 - Valletta,T: Total,A: Annual,2005-A1,6300,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01101: 01101 - Valletta,T: Total,A: Annual,2006-A1,6186,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01101: 01101 - Valletta,T: Total,A: Annual,2007-A1,6098,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01101: 01101 - Valletta,T: Total,A: Annual,2008-A1,6022,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01101: 01101 - Valletta,T: Total,A: Annual,2009-A1,5945,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01101: 01101 - Valletta,T: Total,A: Annual,2010-A1,5838,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01101: 01101 - Valletta,T: Total,A: Annual,2011-A1,5751,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01101: 01101 - Valletta,T: Total,A: Annual,2012-A1,5720,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01101: 01101 - Valletta,T: Total,A: Annual,2013-A1,5680,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01101: 01101 - Valletta,T: Total,A: Annual,2014-A1,5703,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01101: 01101 - Valletta,T: Total,A: Annual,2015-A1,5730,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01101: 01101 - Valletta,T: Total,A: Annual,2016-A1,5718,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01101: 01101 - Valletta,T: Total,A: Annual,2017-A1,5750,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01101: 01101 - Valletta,T: Total,A: Annual,2018-A1,5827,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01101: 01101 - Valletta,T: Total,A: Annual,2019-A1,5891,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01101: 01101 - Valletta,T: Total,A: Annual,2020-A1,5859,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01101: 01101 - Valletta,F: Females,A: Annual,2005-A1,3238,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01101: 01101 - Valletta,F: Females,A: Annual,2006-A1,3174,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01101: 01101 - Valletta,F: Females,A: Annual,2007-A1,3127,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01101: 01101 - Valletta,F: Females,A: Annual,2008-A1,3084,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01101: 01101 - Valletta,F: Females,A: Annual,2009-A1,3044,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01101: 01101 - Valletta,F: Females,A: Annual,2010-A1,2993,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01101: 01101 - Valletta,F: Females,A: Annual,2011-A1,2949,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01101: 01101 - Valletta,F: Females,A: Annual,2012-A1,2924,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01101: 01101 - Valletta,F: Females,A: Annual,2013-A1,2897,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01101: 01101 - Valletta,F: Females,A: Annual,2014-A1,2881,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01101: 01101 - Valletta,F: Females,A: Annual,2015-A1,2891,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01101: 01101 - Valletta,F: Females,A: Annual,2016-A1,2895,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01101: 01101 - Valletta,F: Females,A: Annual,2017-A1,2902,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01101: 01101 - Valletta,F: Females,A: Annual,2018-A1,2909,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01101: 01101 - Valletta,F: Females,A: Annual,2019-A1,2936,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01101: 01101 - Valletta,F: Females,A: Annual,2020-A1,2903,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01103: 01103 - Birgu,T: Total,A: Annual,2005-A1,2701,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01103: 01103 - Birgu,T: Total,A: Annual,2006-A1,2656,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01103: 01103 - Birgu,T: Total,A: Annual,2007-A1,2620,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01103: 01103 - Birgu,T: Total,A: Annual,2008-A1,2591,,
NSO:DF_TOT_POP_BY_REG_DIST_LOC(1.5),MGC01103: 01103 - Birgu,T: Total,A: Annual,2009-A1,2561,,
